   clBlas, 2, 4,-cl-std=CL1.2 -cl-fast-relaxed-math,768,0.12827
myGEMM.cl, 2, 4,-cl-std=CL1.2 -cl-fast-relaxed-math,768,0.73300
   clBlas, 2, 4,-cl-std=CL1.2 -cl-fast-relaxed-math,1280,0.19980
myGEMM.cl, 2, 4,-cl-std=CL1.2 -cl-fast-relaxed-math,1280,3.66588
   clBlas, 2, 4,-cl-std=CL1.2 -cl-fast-relaxed-math,1792,0.19827
myGEMM.cl, 2, 4,-cl-std=CL1.2 -cl-fast-relaxed-math,1792,10.64841
   clBlas, 2, 8,-cl-std=CL1.2 -cl-fast-relaxed-math,256,0.02636
myGEMM.cl, 2, 8,-cl-std=CL1.2 -cl-fast-relaxed-math,256,0.03084
   clBlas, 2, 8,-cl-std=CL1.2 -cl-fast-relaxed-math,768,0.12363
myGEMM.cl, 2, 8,-cl-std=CL1.2 -cl-fast-relaxed-math,768,0.77418
   clBlas, 2, 8,-cl-std=CL1.2 -cl-fast-relaxed-math,1280,0.19701
myGEMM.cl, 2, 8,-cl-std=CL1.2 -cl-fast-relaxed-math,1280,3.57182
   clBlas, 2, 8,-cl-std=CL1.2 -cl-fast-relaxed-math,1792,0.19858
myGEMM.cl, 2, 8,-cl-std=CL1.2 -cl-fast-relaxed-math,1792,9.82202
   clBlas, 2,16,-cl-std=CL1.2 -cl-fast-relaxed-math,256,0.02645
myGEMM.cl, 2,16,-cl-std=CL1.2 -cl-fast-relaxed-math,256,0.01869
   clBlas, 2,16,-cl-std=CL1.2 -cl-fast-relaxed-math,768,0.12687
myGEMM.cl, 2,16,-cl-std=CL1.2 -cl-fast-relaxed-math,768,0.46968
   clBlas, 2,16,-cl-std=CL1.2 -cl-fast-relaxed-math,1280,0.19916
myGEMM.cl, 2,16,-cl-std=CL1.2 -cl-fast-relaxed-math,1280,2.14430
   clBlas, 2,16,-cl-std=CL1.2 -cl-fast-relaxed-math,1792,0.20103
myGEMM.cl, 2,16,-cl-std=CL1.2 -cl-fast-relaxed-math,1792,5.90072
   clBlas, 1, 4,-cl-std=CL1.2,256,0.02644
myGEMM.cl, 1, 4,-cl-std=CL1.2,256,0.05114
   clBlas, 1, 4,-cl-std=CL1.2,768,0.12502
myGEMM.cl, 1, 4,-cl-std=CL1.2,768,1.40677
   clBlas, 1, 4,-cl-std=CL1.2,1280,0.19457
myGEMM.cl, 1, 4,-cl-std=CL1.2,1280,6.50831
   clBlas, 1, 4,-cl-std=CL1.2,1792,0.19731
myGEMM.cl, 1, 4,-cl-std=CL1.2,1792,18.43111
   clBlas, 1, 8,-cl-std=CL1.2,256,0.02644
myGEMM.cl, 1, 8,-cl-std=CL1.2,256,0.05171
   clBlas, 1, 8,-cl-std=CL1.2,768,0.12368
myGEMM.cl, 1, 8,-cl-std=CL1.2,768,1.42464
   clBlas, 1, 8,-cl-std=CL1.2,1280,0.19412
myGEMM.cl, 1, 8,-cl-std=CL1.2,1280,6.28609
   clBlas, 1, 8,-cl-std=CL1.2,1792,0.19519
myGEMM.cl, 1, 8,-cl-std=CL1.2,1792,17.79280
   clBlas, 1,16,-cl-std=CL1.2,256,0.02625
myGEMM.cl, 1,16,-cl-std=CL1.2,256,0.05461
   clBlas, 1,16,-cl-std=CL1.2,768,0.12405
myGEMM.cl, 1,16,-cl-std=CL1.2,768,1.46174
   clBlas, 1,16,-cl-std=CL1.2,1280,0.19636
myGEMM.cl, 1,16,-cl-std=CL1.2,1280,6.62461
   clBlas, 1,16,-cl-std=CL1.2,1792,0.19696
myGEMM.cl, 1,16,-cl-std=CL1.2,1792,18.70824
   clBlas, 2, 4,-cl-std=CL1.2,256,0.02670
myGEMM.cl, 2, 4,-cl-std=CL1.2,256,0.02432
   clBlas, 2, 4,-cl-std=CL1.2,768,0.12405
myGEMM.cl, 2, 4,-cl-std=CL1.2,768,0.63226
   clBlas, 2, 4,-cl-std=CL1.2,1280,0.19350
myGEMM.cl, 2, 4,-cl-std=CL1.2,1280,3.01366
   clBlas, 2, 4,-cl-std=CL1.2,1792,0.19619
myGEMM.cl, 2, 4,-cl-std=CL1.2,1792,8.34211
   clBlas, 2, 8,-cl-std=CL1.2,256,0.02639
myGEMM.cl, 2, 8,-cl-std=CL1.2,256,0.02950
   clBlas, 2, 8,-cl-std=CL1.2,768,0.12434
myGEMM.cl, 2, 8,-cl-std=CL1.2,768,0.79978
   clBlas, 2, 8,-cl-std=CL1.2,1280,0.19572
myGEMM.cl, 2, 8,-cl-std=CL1.2,1280,3.69266
   clBlas, 2, 8,-cl-std=CL1.2,1792,0.19333
myGEMM.cl, 2, 8,-cl-std=CL1.2,1792,9.90182
   clBlas, 2,16,-cl-std=CL1.2,256,0.02632
myGEMM.cl, 2,16,-cl-std=CL1.2,256,0.01811
   clBlas, 2,16,-cl-std=CL1.2,768,0.12357
myGEMM.cl, 2,16,-cl-std=CL1.2,768,0.46654
   clBlas, 2,16,-cl-std=CL1.2,1280,0.19569
myGEMM.cl, 2,16,-cl-std=CL1.2,1280,2.18672
   clBlas, 2,16,-cl-std=CL1.2,1792,0.19668
myGEMM.cl, 2,16,-cl-std=CL1.2,1792,5.99128
   clBlas, 1, 4,-cl-std=CL1.2 -cl-fast-relaxed-math,256,0.02635
myGEMM.cl, 1, 4,-cl-std=CL1.2 -cl-fast-relaxed-math,256,0.05101
   clBlas, 1, 4,-cl-std=CL1.2 -cl-fast-relaxed-math,768,0.12403
myGEMM.cl, 1, 4,-cl-std=CL1.2 -cl-fast-relaxed-math,768,1.41865
   clBlas, 1, 4,-cl-std=CL1.2 -cl-fast-relaxed-math,1280,0.19487
myGEMM.cl, 1, 4,-cl-std=CL1.2 -cl-fast-relaxed-math,1280,6.50569
   clBlas, 1, 4,-cl-std=CL1.2 -cl-fast-relaxed-math,1792,0.19613
myGEMM.cl, 1, 4,-cl-std=CL1.2 -cl-fast-relaxed-math,1792,18.53298
   clBlas, 1, 8,-cl-std=CL1.2 -cl-fast-relaxed-math,256,0.02645
myGEMM.cl, 1, 8,-cl-std=CL1.2 -cl-fast-relaxed-math,256,0.05508
   clBlas, 1, 8,-cl-std=CL1.2 -cl-fast-relaxed-math,768,0.12416
myGEMM.cl, 1, 8,-cl-std=CL1.2 -cl-fast-relaxed-math,768,1.39792
   clBlas, 1, 8,-cl-std=CL1.2 -cl-fast-relaxed-math,1280,0.19340
myGEMM.cl, 1, 8,-cl-std=CL1.2 -cl-fast-relaxed-math,1280,6.37238
   clBlas, 1, 8,-cl-std=CL1.2 -cl-fast-relaxed-math,1792,0.19280
myGEMM.cl, 1, 8,-cl-std=CL1.2 -cl-fast-relaxed-math,1792,17.94711
   clBlas, 1,16,-cl-std=CL1.2 -cl-fast-relaxed-math,256,0.02640
myGEMM.cl, 1,16,-cl-std=CL1.2 -cl-fast-relaxed-math,256,0.05613
   clBlas, 1,16,-cl-std=CL1.2 -cl-fast-relaxed-math,768,0.12696
myGEMM.cl, 1,16,-cl-std=CL1.2 -cl-fast-relaxed-math,768,1.46769
   clBlas, 1,16,-cl-std=CL1.2 -cl-fast-relaxed-math,1280,0.19799
myGEMM.cl, 1,16,-cl-std=CL1.2 -cl-fast-relaxed-math,1280,6.43026
   clBlas, 1,16,-cl-std=CL1.2 -cl-fast-relaxed-math,1792,0.19603
myGEMM.cl, 1,16,-cl-std=CL1.2 -cl-fast-relaxed-math,1792,19.34095
   clBlas, 2, 4,-cl-std=CL1.2 -cl-fast-relaxed-math,256,0.02621
myGEMM.cl, 2, 4,-cl-std=CL1.2 -cl-fast-relaxed-math,256,0.03192
   clBlas, 2, 4,-cl-std=CL1.2 -cl-fast-relaxed-math,768,0.12593
myGEMM.cl, 2, 4,-cl-std=CL1.2 -cl-fast-relaxed-math,768,0.82246
   clBlas, 2, 4,-cl-std=CL1.2 -cl-fast-relaxed-math,1280,0.19992
myGEMM.cl, 2, 4,-cl-std=CL1.2 -cl-fast-relaxed-math,1280,3.81333
   clBlas, 2, 4,-cl-std=CL1.2 -cl-fast-relaxed-math,1792,0.20010
myGEMM.cl, 2, 4,-cl-std=CL1.2 -cl-fast-relaxed-math,1792,10.47612
   clBlas, 2, 8,-cl-std=CL1.2 -cl-fast-relaxed-math,256,0.02630
myGEMM.cl, 2, 8,-cl-std=CL1.2 -cl-fast-relaxed-math,256,0.03194
   clBlas, 2, 8,-cl-std=CL1.2 -cl-fast-relaxed-math,768,0.12364
myGEMM.cl, 2, 8,-cl-std=CL1.2 -cl-fast-relaxed-math,768,0.78372
   clBlas, 2, 8,-cl-std=CL1.2 -cl-fast-relaxed-math,1280,0.19169
myGEMM.cl, 2, 8,-cl-std=CL1.2 -cl-fast-relaxed-math,1280,3.66201
   clBlas, 2, 8,-cl-std=CL1.2 -cl-fast-relaxed-math,1792,0.19235
myGEMM.cl, 2, 8,-cl-std=CL1.2 -cl-fast-relaxed-math,1792,9.92709
   clBlas, 2,16,-cl-std=CL1.2 -cl-fast-relaxed-math,256,0.02641
myGEMM.cl, 2,16,-cl-std=CL1.2 -cl-fast-relaxed-math,256,0.01825
   clBlas, 2,16,-cl-std=CL1.2 -cl-fast-relaxed-math,768,0.12346
myGEMM.cl, 2,16,-cl-std=CL1.2 -cl-fast-relaxed-math,768,0.47321
   clBlas, 2,16,-cl-std=CL1.2 -cl-fast-relaxed-math,1280,0.19437
myGEMM.cl, 2,16,-cl-std=CL1.2 -cl-fast-relaxed-math,1280,2.14978
   clBlas, 2,16,-cl-std=CL1.2 -cl-fast-relaxed-math,1792,0.19619
myGEMM.cl, 2,16,-cl-std=CL1.2 -cl-fast-relaxed-math,1792,5.96036
   clBlas, 1, 4,-cl-std=CL1.2,256,0.02625
myGEMM.cl, 1, 4,-cl-std=CL1.2,256,0.05108
   clBlas, 1, 4,-cl-std=CL1.2,768,0.12287
myGEMM.cl, 1, 4,-cl-std=CL1.2,768,1.40881
   clBlas, 1, 4,-cl-std=CL1.2,1280,0.19372
myGEMM.cl, 1, 4,-cl-std=CL1.2,1280,6.57529
   clBlas, 1, 4,-cl-std=CL1.2,1792,0.19439
myGEMM.cl, 1, 4,-cl-std=CL1.2,1792,18.73294
   clBlas, 1, 8,-cl-std=CL1.2,256,0.02643
myGEMM.cl, 1, 8,-cl-std=CL1.2,256,0.05454
   clBlas, 1, 8,-cl-std=CL1.2,768,0.12461
myGEMM.cl, 1, 8,-cl-std=CL1.2,768,1.40817
   clBlas, 1, 8,-cl-std=CL1.2,1280,0.19900
myGEMM.cl, 1, 8,-cl-std=CL1.2,1280,6.30559
   clBlas, 1, 8,-cl-std=CL1.2,1792,0.19395
myGEMM.cl, 1, 8,-cl-std=CL1.2,1792,17.94622
   clBlas, 1,16,-cl-std=CL1.2,256,0.02639
myGEMM.cl, 1,16,-cl-std=CL1.2,256,0.05603
   clBlas, 1,16,-cl-std=CL1.2,768,0.12329
myGEMM.cl, 1,16,-cl-std=CL1.2,768,1.44938
   clBlas, 1,16,-cl-std=CL1.2,1280,0.19432
myGEMM.cl, 1,16,-cl-std=CL1.2,1280,6.51999
   clBlas, 1,16,-cl-std=CL1.2,1792,0.19583
myGEMM.cl, 1,16,-cl-std=CL1.2,1792,18.37637
   clBlas, 2, 4,-cl-std=CL1.2,256,0.02643
myGEMM.cl, 2, 4,-cl-std=CL1.2,256,0.02363
   clBlas, 2, 4,-cl-std=CL1.2,768,0.12339
myGEMM.cl, 2, 4,-cl-std=CL1.2,768,0.63349
   clBlas, 2, 4,-cl-std=CL1.2,1280,0.19430
myGEMM.cl, 2, 4,-cl-std=CL1.2,1280,3.03400
   clBlas, 2, 4,-cl-std=CL1.2,1792,0.19283
myGEMM.cl, 2, 4,-cl-std=CL1.2,1792,8.27837
   clBlas, 2, 8,-cl-std=CL1.2,256,0.02638
myGEMM.cl, 2, 8,-cl-std=CL1.2,256,0.02979
   clBlas, 2, 8,-cl-std=CL1.2,768,0.12552
myGEMM.cl, 2, 8,-cl-std=CL1.2,768,0.82443
   clBlas, 2, 8,-cl-std=CL1.2,1280,0.19671
myGEMM.cl, 2, 8,-cl-std=CL1.2,1280,3.81783
   clBlas, 2, 8,-cl-std=CL1.2,1792,0.19715
myGEMM.cl, 2, 8,-cl-std=CL1.2,1792,9.93712
   clBlas, 2,16,-cl-std=CL1.2,256,0.02612
myGEMM.cl, 2,16,-cl-std=CL1.2,256,0.01895
   clBlas, 2,16,-cl-std=CL1.2,768,0.12648
myGEMM.cl, 2,16,-cl-std=CL1.2,768,0.47338
   clBlas, 2,16,-cl-std=CL1.2,1280,0.19376
myGEMM.cl, 2,16,-cl-std=CL1.2,1280,2.16736
   clBlas, 2,16,-cl-std=CL1.2,1792,0.19426
myGEMM.cl, 2,16,-cl-std=CL1.2,1792,5.97389
   clBlas, 1, 4,-cl-std=CL1.2 -cl-fast-relaxed-math,256,0.02632
myGEMM.cl, 1, 4,-cl-std=CL1.2 -cl-fast-relaxed-math,256,0.05126
   clBlas, 1, 4,-cl-std=CL1.2 -cl-fast-relaxed-math,768,0.12321
myGEMM.cl, 1, 4,-cl-std=CL1.2 -cl-fast-relaxed-math,768,1.40662
   clBlas, 1, 4,-cl-std=CL1.2 -cl-fast-relaxed-math,1280,0.19418
myGEMM.cl, 1, 4,-cl-std=CL1.2 -cl-fast-relaxed-math,1280,6.50925
   clBlas, 1, 4,-cl-std=CL1.2 -cl-fast-relaxed-math,1792,0.19407
myGEMM.cl, 1, 4,-cl-std=CL1.2 -cl-fast-relaxed-math,1792,18.50741
   clBlas, 1, 8,-cl-std=CL1.2 -cl-fast-relaxed-math,256,0.02644
myGEMM.cl, 1, 8,-cl-std=CL1.2 -cl-fast-relaxed-math,256,0.05115
   clBlas, 1, 8,-cl-std=CL1.2 -cl-fast-relaxed-math,768,0.12386
myGEMM.cl, 1, 8,-cl-std=CL1.2 -cl-fast-relaxed-math,768,1.41459
   clBlas, 1, 8,-cl-std=CL1.2 -cl-fast-relaxed-math,1280,0.19276
myGEMM.cl, 1, 8,-cl-std=CL1.2 -cl-fast-relaxed-math,1280,6.25496
   clBlas, 1, 8,-cl-std=CL1.2 -cl-fast-relaxed-math,1792,0.19422
myGEMM.cl, 1, 8,-cl-std=CL1.2 -cl-fast-relaxed-math,1792,18.26812
   clBlas, 1,16,-cl-std=CL1.2 -cl-fast-relaxed-math,256,0.02652
myGEMM.cl, 1,16,-cl-std=CL1.2 -cl-fast-relaxed-math,256,0.05536
   clBlas, 1,16,-cl-std=CL1.2 -cl-fast-relaxed-math,768,0.12448
myGEMM.cl, 1,16,-cl-std=CL1.2 -cl-fast-relaxed-math,768,1.44568
   clBlas, 1,16,-cl-std=CL1.2 -cl-fast-relaxed-math,1280,0.19231
myGEMM.cl, 1,16,-cl-std=CL1.2 -cl-fast-relaxed-math,1280,6.71229
   clBlas, 1,16,-cl-std=CL1.2 -cl-fast-relaxed-math,1792,0.19094
myGEMM.cl, 1,16,-cl-std=CL1.2 -cl-fast-relaxed-math,1792,18.63256
   clBlas, 2, 4,-cl-std=CL1.2 -cl-fast-relaxed-math,256,0.02638
myGEMM.cl, 2, 4,-cl-std=CL1.2 -cl-fast-relaxed-math,256,0.03192
   clBlas, 2, 4,-cl-std=CL1.2 -cl-fast-relaxed-math,768,0.12799
myGEMM.cl, 2, 4,-cl-std=CL1.2 -cl-fast-relaxed-math,768,0.82119
   clBlas, 2, 4,-cl-std=CL1.2 -cl-fast-relaxed-math,1280,0.19879
myGEMM.cl, 2, 4,-cl-std=CL1.2 -cl-fast-relaxed-math,1280,3.80624
   clBlas, 2, 4,-cl-std=CL1.2 -cl-fast-relaxed-math,1792,0.19709
myGEMM.cl, 2, 4,-cl-std=CL1.2 -cl-fast-relaxed-math,1792,10.43831
   clBlas, 2, 8,-cl-std=CL1.2 -cl-fast-relaxed-math,256,0.02628
myGEMM.cl, 2, 8,-cl-std=CL1.2 -cl-fast-relaxed-math,256,0.03019
   clBlas, 2, 8,-cl-std=CL1.2 -cl-fast-relaxed-math,768,0.12558
myGEMM.cl, 2, 8,-cl-std=CL1.2 -cl-fast-relaxed-math,768,0.79209
   clBlas, 2, 8,-cl-std=CL1.2 -cl-fast-relaxed-math,1280,0.19659
myGEMM.cl, 2, 8,-cl-std=CL1.2 -cl-fast-relaxed-math,1280,3.65542
   clBlas, 2, 8,-cl-std=CL1.2 -cl-fast-relaxed-math,1792,0.19391
myGEMM.cl, 2, 8,-cl-std=CL1.2 -cl-fast-relaxed-math,1792,10.00242
   clBlas, 2,16,-cl-std=CL1.2 -cl-fast-relaxed-math,256,0.02618
myGEMM.cl, 2,16,-cl-std=CL1.2 -cl-fast-relaxed-math,256,0.01872
   clBlas, 2,16,-cl-std=CL1.2 -cl-fast-relaxed-math,768,0.12410
myGEMM.cl, 2,16,-cl-std=CL1.2 -cl-fast-relaxed-math,768,0.47078
   clBlas, 2,16,-cl-std=CL1.2 -cl-fast-relaxed-math,1280,0.19373
myGEMM.cl, 2,16,-cl-std=CL1.2 -cl-fast-relaxed-math,1280,2.18449
